id,layer,path,section,lines,fields,verdict,binds,reader_lines,reader_number,reader_standard,reader_about,reader_note
00065,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.502.3,L495,max_height_ft,agree,no,,,,"height limit for sustainability-related accessory structures, specifically a small wind energy system's pole and turbine","L495 governs ""The pole and turbine"" of a wind energy system, an accessory structure, not the primary residential building."
00066,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.504.6,L657,min_frontage_ft,agree,no,,,,minimum accessway/frontage width required for flag lots and back lots,"L657 applies specifically to ""Flag lots,"" a lot configuration nothing on the card establishes for our building's lot."
00067,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.505.1,L1007,max_units,seen_elsewhere,yes,L1007,50,distance triggering the one-to-four-unit building design standards (facade within 50 ft of a front/street-side lot line),applicability of the one-to-four-unit residential building and site design standards to plex developments,"L1007 states the building design standards apply when ""the closest wall of the street-facing facade is within 50 ft of a front or street side lot line,"" and separately that ""the site design standards apply to plex developments (i.e., 2 to 4 units)"" outright -- our 4-unit building is exactly that plex development, so the site design standards bind unconditionally even though the specific numeric requirements are in the lines that follow and aren't shown on this card."
00068,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.507.3,L2800,max_height_ft,agree,no,,,,"size, illumination, and height limits for a sign permitted with an approved home occupation","L2800 applies ""on any property with an approved home occupation"" -- our building's description includes no home occupation, so this signage standard is conditional on an elective use, not something the fourplex itself must satisfy."
00069,or/clackamas/milwaukie,or/clackamas/milwaukie/19.500.supplementary.txt,19.511,L4633,max_coverage_pct,agree,no,,,,affordable-housing incentive allowing extra lot coverage above the base maximum,"L4633 is one line of an incentive/bonus program (""up to 10 percentage points increase over the base maximum"") a developer may opt into -- nothing is required."
00070,or/clackamas/milwaukie,or/clackamas/milwaukie/19.600.parking.txt,19.606.1,L489,parking_min_per_unit,worth_reading,yes,L489,16,minimum two-way drive aisle width,"minimum dimensions for off-street parking spaces and drive aisles, by parking angle, and required drive-aisle widths","L489: ""the minimum allowed width for a one-way drive aisle shall be 8 ft and the minimum allowed width for a two-way drive aisle shall be 16 ft."" Our building has off-street parking, so its drive aisle(s) and stall dimensions (Table 19.606.1 above) would need to meet these minimums."
00071,or/clackamas/oregon-city,or/clackamas/oregon-city/17.zoning.txt,17.04.1340,L3542,max_height_ft,agree,no,,,,definition of how tree diameter at breast height (DBH) is measured,"L3542 is a measurement-methodology definition (height 4.5 ft above ground, mid-point on sloped ground) for tree DBH, not a standard our building must meet."
00072,or/clackamas/tualatin,or/clackamas/tualatin/36.400-420.lot-dimensions.txt,36.125,L58,min_lot_sqft,agree,no,,,,"minimum lot size reduction to 5,000 square feet for 'flexible lots' in the RL zone, conditioned on subdivision density","""(a) RL Zone. The minimum lot size may be reduced to 5,000 square feet if: (i) The density of the proposed subdivision does not exceed the density allowed in the zone"" — this governs how a new lot may be created in a land division, not a standard our building must meet once sited on an existing lot."
00073,or/clackamas/west-linn,or/clackamas/west-linn/25.willamette-historic.txt,25.040,L168,max_height_ft,agree,no,,,,"exemption from Historic Design Review for small accessory structures (under 120 sq ft, under 10 ft tall) in a side or rear yard","""Construction of accessory structures under 120 square feet and 10 feet in height... in a side or rear yard"" governs accessory structures like sheds and gazebos, not the main dwelling building."
00074,or/clackamas/west-linn,or/clackamas/west-linn/41.steep-lots.txt,41.040,L83,max_height_ft,agree,no,,,,"maximum height (50 feet) for places of worship or government buildings, conditioned on floor area","The section heading is ""PLACES OF WORSHIP OR GOVERNMENT BUILDINGS"" and the line reads ""The height of a place of worship or governmental building may be built to a maximum height of 50 feet"" — a different building type entirely."
00075,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.120,L4346,min_frontage_ft,agree,no,,,,"minimum street frontage (75 feet) for a lot, with a reduction allowed on a finding about future subdivision density","""C. Minimum Street Frontage: 75 feet. A reduced street frontage may be approved, based on a finding that the proposed lot frontage will not hinder the future development of the site to densities proposed in the Comprehensive Plan"" — a lot-creation/subdivision dimensional standard, not something the building itself satisfies once the lot already exists."
00076,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.156.05,L13956,max_height_ft,agree,no,,,,maximum height (30 feet) for exempt freestanding or wall-mounted flags,"""no exempt flag may be more than 30 feet in height"" is a sign/flag regulation, unrelated to a residential building."
00077,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.156.07,L14092,min_frontage_ft,agree,no,,,,size and spacing standards for additional ground-mounted subdivision entrance signs in residential zones,"""Additional ground mounted signs of 18 square feet or less shall be permitted for additional entrances... located at least 200 feet apart"" governs signage, not the building."
00078,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.156.08,L14109,max_height_ft,agree,no,,,,"maximum height (20 feet) of freestanding or ground-mounted signs in the PDC, TC, PDI, and PF zones","""The allowed height above ground of a freestanding or ground mounted sign is 20 feet"" is a sign standard in non-residential zones, not applicable to our building."
00079,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.184,L16011,setback_side_ft,agree,no,,,,minimum land area (5 acres) and setbacks (50 feet) for a conditional-use public utility structure,"The heading below reads ""(.06) Conditional Use Regulations—Public Utility Structures"" and the line states ""Front, Rear and Side Yard Setbacks: A minimum of 50 feet"" for that use — a different, non-residential use type."
00080,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.199,L18817,max_height_ft,agree,no,,,,paint/visibility standard for wireless communication towers over 200 feet tall,"""Towers more than 200 feet in height shall be painted in accordance with the Oregon State Aeronautics Division and Federal Aviation Administration rules"" concerns communication towers, not our building."
00081,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.801,L18595,max_height_ft,agree,no,,,,maximum height (50 feet) for wireless communication facilities located in the public right-of-way,"""the maximum height allowed in the right-of-way is 50 feet"" governs wireless support facilities (WCF) in the ROW, an unrelated use."
00082,or/clackamas/wilsonville,or/clackamas/wilsonville/4.planning.txt,4.803,L18844,max_height_ft,agree,no,,,,maximum height (20 feet) of trees/shrubs planted near guy wires of wireless support structures,"""Trees and shrubs in the vicinity of guy wires shall be of a kind that would not exceed 20 feet in height"" is landscaping tied to a wireless facility's guy wires, not our building."
00083,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.100.txt,33.100.200,L186,max_height_ft,seen_elsewhere,yes,L186,1,minimum building setback from property lines,"a general building setback formula tied to building height, under a table headed 'Development Standards'","""buildings must be set back from all property lines a minimum of 1 foot for each foot of building height"" is stated as a general 'buildings' standard with no stated exclusion for a residential building, so a ~26-foot-tall structure would need roughly a 26-foot setback."
00084,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.110.txt,33.110.250,L985,max_height_ft,agree,no,,,,exemption allowing small water cisterns (6 feet or less) inside required side/rear setbacks,"""Water collection cisterns that are 6 feet or less in height are allowed in required side and rear setbacks"" is an accessory-structure allowance, not a standard for the main dwelling."
00085,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.110.txt,33.110.280,L2105,max_height_ft,agree,no,,,,"retaining wall height (4 feet max) and setback (3 feet) standards, appearing beneath a table captioned 'Institutional Development Standards'","""Retaining walls are limited to 4 feet in height measured from the bottom of the footing... must be set back at least 3 feet from other street-facing retaining"" — like a fence, a retaining wall is an incidental site feature built only if grading requires one, not a standard the building itself must meet, and the table just above it is scoped to institutional development."
00086,or/multnomah/_unincorporated,or/multnomah/_unincorporated/33.140.txt,33.140.270,L1392,max_height_ft,agree,no,,,,"exemption allowing small water cisterns (6 feet or less) inside side/rear setbacks, including setbacks abutting a residential zone","""Water cisterns that are 6 feet or less in height are allowed in side and rear setbacks"" is an accessory-structure allowance, not a standard for the dwelling itself."
00087,or/multnomah/_unincorporated,or/multnomah/_unincorporated/39.cfu.txt,39.4110,L1551,max_height_ft,agree,no,,,,fire-safety vegetation height limit (under 2 feet) for silviculture/forest practices on sloped land,"The section heading is ""FOREST PRACTICES"" and the line ""All other vegetation should be kept less than 2 feet in height"" concerns wildfire fuel management on forestland, wholly unrelated to residential construction."
00088,or/multnomah/_unincorporated,or/multnomah/_unincorporated/39.lr-10.txt,39.4868,L4,min_lot_sqft,agree,no,,,,"purpose statement for the LR-10 (Urban Low Density Residential) base zone, describing its 10,000 sq ft minimum lot size for one dwelling","The heading is ""39.4868 PURPOSE"" and the text ""This base zone is defined as an Urban Low Density Residential Base zone with a minimum lot size of 10,000 square feet for one dwelling"" is descriptive intent framed around a single dwelling, not the chapter's operative lot-size/density standard."
00089,or/multnomah/fairview,or/multnomah/fairview/19.106.txt,19.106.050,L688,max_height_ft,seen_elsewhere,yes,L688,70,minimum no-build buffer from Fairview Creek,"a mapped creek-corridor conservation easement along Fairview Creek and Clear Creek within Fairview Village, plus tree-removal mitigation planting ratios","""Within the 100-foot protected area along Fairview Creek, development and resource alteration, other than mitigation or enhancement, will be prohibited within 70 feet of the corridor centered on the creek"" — a mapped riparian buffer that any lot containing the creek, including ours, would have to keep clear of."
00090,or/multnomah/fairview,or/multnomah/fairview/19.13.definitions.txt,19.13.020,L123,max_height_ft,agree,no,,,,"definition of how 'building height' is measured, including the reference elevation point on sloped sites","""An elevation 10 feet higher than the lowest grade when the sidewalk or ground surface... is more than 10 feet above the lowest grade"" is a method for measuring height (a definition), not itself a height limit."
00091,or/multnomah/fairview,or/multnomah/fairview/19.130.txt,19.130.040,L59,max_height_ft,worth_reading,yes,L59,55,maximum building height,development standards for the VO zone: a height cap and a statement that there are no setback requirements,"""Buildings within this zone may not exceed 55 feet in height"" is a general height limit stated for 'Buildings within this zone' with no exclusion of residential use; our ~26-foot building would have to satisfy it, though comfortably. L61's 'no setback requirements' means setbacks do not additionally bind here."
00092,or/multnomah/fairview,or/multnomah/fairview/19.140.txt,19.140.020,L57,max_height_ft,agree,no,,,,"construction and illumination standards for public pedestrian ways and trails (width, lighting height, foot-candle level)","""Pedestrian ways shall be illuminated... with pedestrian scale lighting not to exceed 20 feet in height"" is a public-improvement/streetscape standard for shared circulation infrastructure, not a standard for the building itself."
00093,or/multnomah/fairview,or/multnomah/fairview/19.140.txt,19.140.100,L151,open_space_min_pct,seen_elsewhere,yes,L151,50,minimum window coverage of ground-level walls facing a sidewalk or public space,"a 'blank wall' glazing design standard for ground-level exterior walls that abut sidewalks, plazas, or public open space","""Windows must occupy at least 50 percent of the length and 25 percent of the ground level wall area... applies to the ground level of exterior building walls which abut sidewalks, plazas, or other public open spaces"" — a design standard our building's street-facing ground floor would have to meet; the 25 percent wall-area figure is a second, related number."
00094,or/multnomah/fairview,or/multnomah/fairview/19.30.txt,19.30.060,L785,setback_garage_entrance_ft,agree,no,,,,design standards for cottage-cluster garages and accessory structures (maximum size and garage door width),"The section heading is ""Design standards for cottage clusters"" — an explicitly excluded building type, not our four-unit attached townhome."
00095,or/multnomah/fairview,or/multnomah/fairview/19.30.txt,19.30.090,L925,open_space_min_pct,seen_elsewhere,yes,L925,10,minimum common open space,common open space requirement for multiple-unit developments in the Residential Medium Density (RM) district,"""a minimum of 10 percent of the site area shall be designated and permanently reserved as usable common open space in all multiple-unit developments"" — a four-unit attached townhome squarely qualifies as a multiple-unit development."
00096,or/multnomah/fairview,or/multnomah/fairview/19.65.txt,19.65.070,L273,max_height_ft,agree,no,,,,optional height bonus (up to 20 ft) and off-street parking credit options for developments in the Town Center Commercial District,"L273 says a height bonus 'is allowed' if a developer chooses to meet criteria in Table 19.65.070 -- nothing is required. L275's parking credit is likewise elective, not a standard the building must meet."
00097,or/multnomah/fairview,or/multnomah/fairview/19.70.txt,19.70.040,L98,max_coverage_pct,agree,no,,,,lot coverage and floor area ratio for the Corridor Commercial District,"L98 states plainly: 'There are no maximum lot coverage or floor area ratio requirements' in this district, so nothing is imposed by this section."
00098,or/multnomah/fairview,or/multnomah/fairview/19.70.txt,19.70.060,L128,max_height_ft,agree,no,,,,an optional conditional-use height bonus to 55 feet in the Corridor Commercial District,The marked line (L128) is the 'C. Performance Option' -- an elective increase to 55 feet obtainable only through a conditional use permit. Nothing here is mandatory.
00099,or/multnomah/fairview,or/multnomah/fairview/19.80.txt,19.80.040,L102,max_coverage_pct,agree,no,,,,maximum lot coverage (85 percent) in the Light Industrial District,"L102 sets an 85 percent lot coverage cap, but the use table above (L45-66) lists only industrial and CU-only commercial uses; a residential fourplex is not a use this district's standards reach."
00100,or/multnomah/fairview,or/multnomah/fairview/19.80.txt,19.80.050,L110,max_height_ft,agree,no,,,,an optional conditional-use height bonus to 55 feet in the Light Industrial District,"Marked L110 is the 'B. Performance Option,' an elective CUP-based increase; also the Light Industrial District use table does not list a residential fourplex."
00101,or/multnomah/fairview,or/multnomah/fairview/19.85.txt,19.85.040,L137,max_coverage_pct,agree,no,,,,maximum lot coverage (85 percent) in the General Industrial District,"L137 sets an 85 percent lot coverage cap, but the district table above (L37-58) lists only industrial uses; a residential fourplex isn't among them."
00102,or/multnomah/fairview,or/multnomah/fairview/19.85.txt,19.85.060,L157,max_height_ft,agree,no,,,,an optional conditional-use height bonus to 55 feet in the General Industrial District,"Marked L157 is the 'B. Performance Option' -- an elective CUP-based increase, and the district's use table is industrial, not residential."
00103,or/multnomah/gresham,or/multnomah/gresham/3.0100.definitions.txt,3,L1109,max_height_ft,agree,no,,,,"definition of what floor area is excluded when measuring 'building height' (basements, low attics, roof area, roof equipment)","This is the definitions chapter describing what does NOT count toward the height measurement, not a standalone numeric standard the building must meet -- a definition, per the instructions, is a 'no.'"
00104,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0110,L59,max_units,agree,no,,,,minimum net density (6.22 units/acre) for the Low Density Residential -5 (LDR-5) district,"L59's minimum-density figure applies only 'for all subdivisions, and for those partitions of parent parcels greater than 20,000 square feet' -- placing one fourplex on its own existing lot is neither a subdivision nor a qualifying partition."
00105,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0111,L67,max_units,agree,no,,,,minimum net density (4.35 units/acre) for the Low Density Residential -7 (LDR-7) district,"Same structure as LDR-5: L67's minimum only applies 'for all subdivisions, and for those partitions of parent parcels greater than 20,000 square feet' -- not our single-lot building."
00106,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0112,L75,max_units,seen_elsewhere,yes,L75,25,maximum net density,permitted housing types and maximum net density for the Transit Low-Density Residential (TLDR) district,"L73-75 lists 'quadplexes, townhouses' among the permitted types and states 'a maximum net density for single detached units of 20 units per acre and for townhouses of 25 units per acre' -- our four-unit attached townhome is the townhouse category, capped at 25 units/acre, which a small lot could exceed."
00107,or/multnomah/gresham,or/multnomah/gresham/4.0100.residential.txt,4.0113,L89,max_units,seen_elsewhere,yes,L89,25,maximum net density,residential net density standards for the Transition Residential (TR) district,"L89-90: 'The residential net density for single detached units is 6.22 to 14.52 or 18.15 units per acre, depending on site size, and 25 units per acre for townhouses' -- our attached four-unit building is the townhouse category and must not exceed 25 units/acre."
00108,or/multnomah/gresham,or/multnomah/gresham/4.0200.commercial.txt,4.0231,L194,max_height_ft,agree,no,,,,"maximum building height (base 40 ft/3 stories, optional bonus to 65 ft with fire protection) and on-site business-activity restrictions in the Commercial district","This is 'Additional Commercial Land Use District Standards'; the marked line (L194) is itself the optional fire-protection height bonus, and the section governs a commercial district, not a residential fourplex use."
00109,or/multnomah/gresham,or/multnomah/gresham/4.0200.commercial.txt,4.0233,L233,max_height_ft,agree,no,,,,maximum height of roof-mounted wind energy systems in commercial districts,"This governs an optional accessory wind turbine a developer might add to a commercial building; our fourplex has no wind energy system, and this is a commercial-district provision."
00110,or/multnomah/gresham,or/multnomah/gresham/4.0300.industrial.txt,4.0332,L317,max_height_ft,agree,no,,,,maximum height of ground-mounted solar energy systems in industrial districts,Accessory solar-equipment height limit for the Heavy/General Industrial districts -- our building includes no solar energy system and isn't an industrial use.
00111,or/multnomah/gresham,or/multnomah/gresham/4.0300.industrial.txt,4.0333,L330,max_height_ft,agree,no,,,,maximum height of ground-mounted wind energy systems in industrial districts,"An optional accessory wind-turbine standard for industrial districts, not applicable to our residential building."
00112,or/multnomah/gresham,or/multnomah/gresham/4.0400.corridor.txt,4.0443,L686,max_height_ft,agree,no,,,,maximum height of roof-mounted and ground-mounted wind energy systems in Corridor design/plan districts,"L684-688 caps an optional accessory wind turbine's height; our fourplex has no wind energy system, so nothing here binds it."
00113,or/multnomah/gresham,or/multnomah/gresham/4.1100.downtown.txt,4,L610,max_height_ft,agree,no,,,,an optional sidewalk canopy 'bonus element' plus downtown height/setback bonus notes for the Downtown district,"The section heading itself is 'BONUS ELEMENTS,' and the marked line (L610) is titled 'Canopy Over Sidewalks Where Not Otherwise Required' -- an elective feature a developer may add, not a mandatory standard."
00114,or/multnomah/gresham,or/multnomah/gresham/4.1100.downtown.txt,4.1135,L753,max_height_ft,agree,no,,,,maximum height of roof-mounted wind energy systems in Downtown districts,An accessory wind-turbine height cap for Downtown districts; our building has no such system.
00115,or/multnomah/gresham,or/multnomah/gresham/4.1200.civic-neighborhood.txt,4.1200,L448,max_height_ft,agree,no,,,,maximum height of ground-mounted solar energy systems in the Civic Neighborhood Plan District,L448 caps an optional accessory solar installation at 20 feet; our building includes no solar energy system.
00116,or/multnomah/gresham,or/multnomah/gresham/4.1200.civic-neighborhood.txt,4.1234,L441,max_height_ft,agree,no,,,,maximum height of roof-mounted solar energy system frames in the Civic Neighborhood Plan District,L441 caps an optional roof-mounted solar frame at 10 feet above the roof; not applicable since our building has no solar system.
00117,or/multnomah/gresham,or/multnomah/gresham/4.1200.civic-neighborhood.txt,4.1235,L458,max_height_ft,agree,no,,,,maximum height of roof-mounted wind energy systems in the Civic Neighborhood Plan District,L458 caps an optional roof-mounted wind turbine at 10 feet above the roof height; our building has no wind energy system.
00118,or/multnomah/gresham,or/multnomah/gresham/4.1500.springwater.txt,4.1504,L118,max_units,seen_elsewhere,yes,L118,14.4,maximum net density,housing types and maximum net density for the Very Low-Density Residential - Springwater (VLDR-SW) district,"L116-118: the district is 'intended for Single Detached Dwellings and Middle Housing... at a maximum net density for Single Detached Dwellings of 3.6 units per acre, and for Townhouses of 14.4 units per acre.' A four-unit attached townhome is Middle Housing/townhouse type and must not exceed 14.4 units/acre."
00119,or/multnomah/gresham,or/multnomah/gresham/4.1500.springwater.txt,4.1505,L122,max_units,seen_elsewhere,yes,L122,25,net density (townhouses),residential net density for the Low-Density Residential - Springwater (LDR-SW) district,"L121-123: the district runs 'at an average net density for single detached units of 5.8 to 7.3 dwelling units per acre and 5.8 to 25 units per acre for Townhouses' -- our attached four-unit building falls in the townhouse range, and a compact lot could push past the 25/acre upper bound."
00120,or/multnomah/gresham,or/multnomah/gresham/7.0400.middle-housing-design.txt,7.0450,L892,max_coverage_pct,agree,no,,,,categories used to measure design and building-form variety across multiple structures within a larger middle-housing development area,The marked line ('Building lot coverage. Lot coverage does not exceed 50 percent') is one of several 'design feature categories' used only to apply a variety requirement across a multi-structure 'development area' (L829-832); a single four-unit building on its own lot has nothing to vary against.
00121,or/multnomah/gresham,or/multnomah/gresham/9.0600.height-transition.txt,9.0610,L49,max_height_ft,worth_reading,yes,L49,30,maximum building height,"height limits applied near lower-density zoned lots, tiered by distance from the lot line","""On the portion of the site less than or equal to 35 feet from the lot line of a lot zoned LDR-5, LDR7, TR or TLDR, the maximum building height shall be 30 feet"" (L49) is a citywide height-transition standard our building would have to meet if sited near one of those zones."
00122,or/multnomah/gresham,or/multnomah/gresham/9.0800.parking.txt,9.0861,L1090,max_height_ft,agree,no,,,,sill height limits for windows/openings in freestanding parking structures,"The 6-foot maximum sill height (L1090) governs a dedicated 'Parking Structure' (a multi-level garage building), not surface parking or an attached garage serving a residential fourplex."
00123,or/multnomah/gresham,or/multnomah/gresham/pws.6.03-6.04.txt,6.04,L71,max_height_ft,seen_elsewhere,yes,L71,3,maximum height of obstructions within the clear vision area,driveway approach placement and the clear-vision sight triangle at driveways and intersections,"""No fence, wall, landscaping, sign, structure, or parked vehicle that would impede visibility between a height of 3 feet and 10 feet"" may sit in the Clear Vision Area (L71); any lot with a driveway to a public street, including ours, must keep that triangle clear. The unmarked table above also sets driveway approach widths (9 ft minimum, 24 ft maximum for residential)."
00124,or/multnomah/portland,or/multnomah/portland/33.100.txt,33.100.200,L186,max_height_ft,agree,no,,,,building setbacks under an industrial/employment zone chapter's development standards,"The 1-foot-of-setback-per-foot-of-height rule (L186) is Chapter 33.100's development standard, an industrial/employment zoning chapter a residential-only fourplex would not be built in."
00125,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.110.250,L985,max_height_ft,agree,no,,,,an exception letting small water cisterns sit inside a required setback for detached accessory structures,"""Water collection cisterns that are 6 feet or less in height are allowed in required side and rear setbacks"" (L985) is a permissive exception for an optional accessory item, not a standard the building itself must meet."
00126,or/multnomah/portland,or/multnomah/portland/33.110.txt,33.110.280,L2105,max_height_ft,agree,no,,,,"height and setback limits for retaining walls, an optional site feature","""Retaining walls are limited to 4 feet in height... must be set back at least 3 feet"" (L2105) only applies if a retaining wall is built; nothing on the page shows this vacant/cleared lot needs one."
00127,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.120.030,L139,max_units,agree,no,,,,density and use description of the RMP (manufactured dwelling park) zone,"""The RMP zone... allows manufactured dwelling parks. Allowed density may be up to 29 units per acre"" (L138-139) describes a different use (manufactured home parks assembled off-site), not an attached four-unit townhome."
00128,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.120.215,L932,max_height_ft,agree,no,,,,permitted rooftop projections that may exceed the height limit,"""Chimneys, vents, flag poles... with a width, depth, or diameter of 5 feet or less may extend above the height limit"" (L932) is an optional exception a developer may take, not something that must be satisfied."
00129,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.120.275,L1925,max_height_ft,agree,no,,,,"site area, FAR, height, setback and coverage standards specific to institutional development","The table and its section heading ('33.120.275 Development Standards for Institutions') apply only to institutional uses like schools or churches, not a residential fourplex."
00130,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.120.282,L2193,max_coverage_pct,agree,no,,,,adjusted building coverage and landscaping percentages for lots that front a shared court or common green,"""The building coverage on lots with a front lot line on a shared court or common green is 5 percent greater than the building coverage of the base zone"" (L2193) applies only to that specific frontage type; our building fronts a public street with a driveway, not a shared court or common green."
00131,or/multnomah/portland,or/multnomah/portland/33.120.txt,33.120.283,L2005,max_height_ft,agree,no,,,,cistern setback exception amid an institutional development standards table,"L2005 repeats the same cistern-in-setback exception seen elsewhere ('Water collection cisterns... are allowed in side and rear setbacks'), an optional accessory item, inside a table (120-8) governing institutional development."
00132,or/multnomah/portland,or/multnomah/portland/33.140.txt,33.140.270,L1392,max_height_ft,agree,no,,,,cistern setback exception for detached accessory structures,"""Water cisterns that are 6 feet or less in height are allowed in side and rear setbacks"" (L1392) is an optional accessory-structure allowance, not a building requirement."
00133,or/multnomah/portland,or/multnomah/portland/33.150.txt,33.150.260,L831,max_height_ft,agree,no,,,,"screening/setback requirements for rooftop mechanical equipment facing a residential zone, in an employment-zone chapter","The 3-feet-of-setback-per-foot-of-height-or-screen rule (L831) governs equipment on buildings in Chapter 33.150's employment-zone standards near an R zone; a residential-only fourplex would not typically be developed in that zone, and the rule binds only if rooftop equipment sits near the zone's edge."
00134,or/multnomah/portland,or/multnomah/portland/33.150.txt,33.150.280,L955,max_height_ft,agree,no,,,,cistern setback exception for detached accessory structures,"""Water cisterns that are 6 feet or less in height are allowed in side and rear setbacks"" (L955) is the same optional accessory allowance seen in other zones, not a building requirement."
00135,or/multnomah/portland,or/multnomah/portland/33.930.txt,33.930,L438,max_height_ft,agree,no,,,,the measurement method for determining a tree's trunk diameter,"""the trunk is measured at right angles to the trunk 4-1/2 feet along the center of the trunk axis"" (L438) is a measurement procedure for tree preservation purposes, not a standard applied to the building."
00136,or/multnomah/troutdale,or/multnomah/troutdale/1.020.definitions.txt,1.030,L922,max_height_ft,agree,no,,,,definition of an airport imaginary surface (height zone) in the code's definitions chapter,"This sits in the jurisdiction's definitions document (1.020.definitions.txt) and describes a technical airspace surface ('upward extending to a height of three hundred fifty (350) feet above the airport elevation', L922) used to define a term, not an operative building standard."
00137,or/multnomah/troutdale,or/multnomah/troutdale/1.020.definitions.txt,1.040,L1131,max_height_ft,agree,no,,,,definition of 'Below-Grade Crawl Space' for flood/height-measurement purposes,"""Below-Grade Crawl Space. Means..."" (L1130-1133) is a defined term in the code's definitions chapter, not a standard the building must satisfy."
00138,or/multnomah/troutdale,or/multnomah/troutdale/3.zoning-districts.txt,3.430,L1114,min_lot_width_ft,agree,no,,,,"lot width and coverage standards for Industrial Park, Light Industrial, and General Industrial zoning districts","The table heading '3.430 Dimensional Standards for Industrial Zoning Districts' with columns 'IP LI GI' (L1112-1114) applies to industrial zones, not a residential building."
00139,or/multnomah/troutdale,or/multnomah/troutdale/8.development-standards.txt,8.150,L1196,max_height_ft,agree,no,,,,height/setback compliance for optional play structures within a development's recreation area,"""Any play structure exceeding ten (10) feet in height must comply with the underlying zoning district setbacks"" (L1196) is conditional on choosing to install a tall play structure as part of an optional recreation amenity."
00140,or/multnomah/troutdale,or/multnomah/troutdale/8.development-standards.txt,8.165,L1422,max_height_ft,agree,no,,,,roof pitch requirement specific to manufactured home dwellings,"""The manufactured home shall have a pitched roof. The minimum slope shall be not less than a nominal three (3) feet in height for each twelve (12) feet in width"" (L1421-1422) governs HUD-code manufactured homes, a different factory-chassis dwelling type from a modular quadplex."
00141,or/multnomah/troutdale,or/multnomah/troutdale/8.development-standards.txt,8.510,L1603,max_height_ft,agree,no,,,,maximum height for optional sight-obscuring hedges/landscaping along a specific commercial corridor,"""Sight-obscuring hedges or landscaping shall not exceed a height of forty-two (42) inches"" (L1602-1603) only constrains landscaping if a developer chooses to plant a sight-obscuring hedge; nothing on the page shows landscaping of that kind is mandatory."
00142,or/multnomah/troutdale,or/multnomah/troutdale/9.parking.txt,9.120,L618,max_height_ft,agree,no,,,,minimum size and clearance for commercial/industrial loading areas,"""The required loading area shall not be less than ten (10) feet in width by twenty-five (25) feet in length and shall have an unobstructed height of fourteen (14) feet"" (L617-618) is a loading-dock standard for commercial/industrial-scale uses, not a small residential fourplex."
00143,or/multnomah/wood-village,or/multnomah/wood-village/230.390.txt,230.390,L213,max_height_ft,agree,no,,,,"an elective menu of design bonus options (plaza, outdoor recreation, extra ground-floor height) for the Neighborhood Commercial zone","""Table 230-6. Menu of Options for Additional Requirements"" (L198) lists point-earning options a developer may choose; even option P3's ground-floor height for residential use (L213) is one alternative among several, and the zone itself (NC) is commercial, not necessarily our building's district."
